,datatype,image,mask,confound,session,subject,task,template,fds_mean_raw,fds_mean_scrubbed,dice,qc,reason
0,anat,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BCT3664/anat/sub-BCT3664_space-MNI152NLin2009cAsym_desc-preproc_T1w.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BCT3664/anat/sub-BCT3664_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,,,BCT3664,,MNI152NLin2009cAsym,,,0.9903699263654947,pass,
1,func,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BCT3664/ses-1/func/sub-BCT3664_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BCT3664/ses-1/func/sub-BCT3664_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BCT3664/ses-1/func/sub-BCT3664_ses-1_task-rest_desc-confounds_timeseries.tsv,1,BCT3664,rest,MNI152NLin2009cAsym,0.15759568812128513,0.15759568812128513,0.9224172730942536,pass,
2,func,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BCT3664/ses-2/func/sub-BCT3664_ses-2_task-rest_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BCT3664/ses-2/func/sub-BCT3664_ses-2_task-rest_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BCT3664/ses-2/func/sub-BCT3664_ses-2_task-rest_desc-confounds_timeseries.tsv,2,BCT3664,rest,MNI152NLin2009cAsym,0.2260443700148594,0.2157484319946058,0.9206370025466986,pass,
3,anat,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BCT7918/ses-1/anat/sub-BCT7918_ses-1_space-MNI152NLin2009cAsym_desc-preproc_T1w.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BCT7918/ses-1/anat/sub-BCT7918_ses-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,,1,BCT7918,,MNI152NLin2009cAsym,,,0.9884533797841452,fail,anat dice 0.9884533797841452 < 0.99
4,func,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BCT7918/ses-1/func/sub-BCT7918_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BCT7918/ses-1/func/sub-BCT7918_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BCT7918/ses-1/func/sub-BCT7918_ses-1_task-rest_desc-confounds_timeseries.tsv,1,BCT7918,rest,MNI152NLin2009cAsym,0.2398235777586345,0.21346510173888886,0.9122362416107382,pass,
5,anat,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BCT9597/ses-1/anat/sub-BCT9597_ses-1_space-MNI152NLin2009cAsym_desc-preproc_T1w.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BCT9597/ses-1/anat/sub-BCT9597_ses-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,,1,BCT9597,,MNI152NLin2009cAsym,,,0.9880811938200291,fail,anat dice 0.9880811938200291 < 0.99
6,func,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BCT9597/ses-1/func/sub-BCT9597_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BCT9597/ses-1/func/sub-BCT9597_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BCT9597/ses-1/func/sub-BCT9597_ses-1_task-rest_desc-confounds_timeseries.tsv,1,BCT9597,rest,MNI152NLin2009cAsym,0.20864684408674697,0.1832395304713693,0.9032189389423486,pass,
7,anat,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BCT9713/ses-1/anat/sub-BCT9713_ses-1_space-MNI152NLin2009cAsym_desc-preproc_T1w.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BCT9713/ses-1/anat/sub-BCT9713_ses-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,,1,BCT9713,,MNI152NLin2009cAsym,,,0.9908845480278441,pass,
8,func,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BCT9713/ses-1/func/sub-BCT9713_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BCT9713/ses-1/func/sub-BCT9713_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BCT9713/ses-1/func/sub-BCT9713_ses-1_task-rest_desc-confounds_timeseries.tsv,1,BCT9713,rest,MNI152NLin2009cAsym,0.1536204904321285,0.15098890732903222,0.9244137991038412,pass,
9,anat,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BCT9968/ses-1/anat/sub-BCT9968_ses-1_space-MNI152NLin2009cAsym_desc-preproc_T1w.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BCT9968/ses-1/anat/sub-BCT9968_ses-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,,1,BCT9968,,MNI152NLin2009cAsym,,,0.9878130508816251,fail,anat dice 0.9878130508816251 < 0.99
